iter	Passed	Remaining
692	8658	28824
693	8670	28810
694	8681	28792
695	8692	28774
696	8703	28758
697	8715	28742
698	8726	28726
699	8737	28709
700	8748	28692
701	8760	28678
702	8772	28662
703	8782	28644
704	8794	28629
705	8806	28615
706	8818	28600
707	8830	28585
708	8841	28569
709	8853	28555
710	8864	28539
711	8876	28523
712	8886	28503
713	8896	28484
714	8907	28468
715	8919	28452
716	8931	28437
717	8943	28423
718	8955	28411
719	8967	28398
720	8981	28388
721	8994	28379
722	9011	28379
723	9025	28373
724	9039	28366
725	9053	28356
726	9068	28351
727	9079	28336
728	9092	28325
729	9106	28317
730	9118	28304
731	9132	28295
732	9148	28292
733	9160	28281
734	9172	28267
735	9185	28256
736	9197	28240
737	9208	28225
738	9221	28212
739	9232	28197
740	9245	28185
741	9258	28174
742	9270	28160
743	9282	28146
744	9294	28133
745	9306	28119
746	9318	28105
747	9329	28089
748	9342	28076
749	9355	28066
750	9369	28057
751	9381	28044
752	9393	28030
753	9406	28020
754	9418	28006
755	9430	27992
756	9442	27979
757	9454	27964
758	9465	27948
759	9477	27933
760	9488	27917
761	9500	27903
762	9514	27894
763	9526	27881
764	9538	27867
765	9550	27852
766	9561	27838
767	9574	27825
768	9586	27812
769	9598	27798
770	9611	27786
771	9622	27771
772	9633	27754
773	9645	27739
774	9656	27724
775	9668	27709
776	9680	27696
777	9691	27680
778	9704	27667
779	9716	27655
780	9729	27644
781	9742	27632
782	9754	27619
783	9767	27607
784	9778	27592
785	9788	27572
786	9801	27561
787	9814	27548
788	9825	27533
789	9837	27519
790	9848	27504
791	9860	27488
792	9872	27476
793	9883	27460
794	9894	27443
795	9906	27430
796	9918	27416
797	9930	27402
798	9942	27389
799	9953	27371
800	9965	27358
801	9977	27345
802	9990	27334
803	10002	27319
804	10014	27306
805	10027	27294
806	10039	27282
807	10051	27269
808	10064	27256
809	10078	27248
810	10091	27237
811	10102	27223
812	10115	27211
813	10128	27200
814	10140	27187
815	10154	27177
816	10166	27165
817	10178	27151
818	10190	27138
819	10202	27123
820	10214	27109
821	10225	27094
822	10238	27082
823	10249	27067
824	10261	27052
825	10273	27038
826	10283	27021
827	10295	27006
828	10306	26989
829	10317	26974
830	10328	26958
831	10340	26944
832	10351	26929
833	10362	26913
834	10373	26896
835	10384	26879
836	10395	26864
837	10407	26849
838	10418	26835
839	10429	26819
840	10440	26802
841	10451	26787
842	10462	26770
843	10474	26756
844	10485	26741
845	10498	26729
846	10508	26712
847	10521	26701
848	10532	26685
849	10544	26671
850	10555	26656
851	10566	26639
852	10577	26623
853	10589	26609
854	10600	26595
855	10613	26582
856	10625	26570
857	10637	26555
858	10648	26540
859	10660	26526
860	10672	26513
861	10683	26497
862	10694	26483
863	10706	26468
864	10717	26453
865	10728	26437
866	10739	26421
867	10751	26407
868	10762	26392
869	10774	26377
870	10785	26364
871	10797	26348
872	10808	26335
873	10820	26320
874	10831	26305
875	10842	26290
876	10854	26276
877	10865	26261
878	10877	26246
879	10889	26232
880	10899	26216
881	10911	26202
882	10923	26188
883	10933	26171
884	10944	26155
885	10955	26139
886	10967	26127
887	10978	26110
888	10989	26095
889	11001	26082
890	11013	26068
891	11024	26052
892	11035	26037
893	11047	26024
894	11059	26011
895	11070	25995
896	11081	25979
897	11092	25964
898	11104	25950
899	11115	25936
900	11127	25924
901	11139	25909
902	11149	25892
903	11161	25879
904	11173	25866
905	11187	25856
906	11198	25842
907	11209	25826
908	11220	25811
909	11231	25796
910	11244	25783
911	11258	25775
912	11269	25761
913	11281	25746
914	11292	25732
915	11304	25719
916	11315	25703
917	11326	25688
918	11338	25675
919	11350	25661
920	11361	25647
921	11373	25633
922	11384	25619
923	11396	25605
924	11408	25591
925	11419	25576
926	11431	25564
927	11443	25550
928	11456	25539
929	11467	25524
930	11479	25511
931	11492	25499
932	11503	25485
933	11514	25470
934	11525	25455
935	11537	25441
936	11549	25428
937	11560	25413
938	11572	25399
939	11584	25386
940	11595	25373
941	11606	25357
942	11618	25342
943	11629	25328
944	11640	25314
945	11652	25301
946	11664	25287
947	11675	25272
948	11686	25256
949	11698	25243
950	11709	25228
951	11720	25213
952	11731	25198
953	11743	25186
954	11755	25173
955	11767	25159
956	11778	25144
957	11789	25130
958	11800	25115
959	11811	25100
960	11823	25086
961	11834	25072
962	11845	25056
963	11857	25042
964	11868	25029
965	11880	25015
966	11891	25001
967	11902	24986
968	11914	24971
969	11925	24957
970	11936	24942
971	11947	24927
972	11959	24914
973	11971	24901
974	11981	24885
975	11992	24869
976	12003	24853
977	12014	24839
978	12024	24823
979	12036	24809
980	12047	24794
981	12059	24781
982	12070	24766
983	12082	24754
984	12093	24740
985	12105	24726
986	12116	24712
987	12128	24698
988	12139	24684
989	12150	24669
990	12161	24653
991	12172	24638
992	12183	24624
993	12194	24610
994	12206	24597
995	12218	24584
996	12230	24572
997	12242	24557
998	12253	24544
999	12264	24528
1000	12275	24514
1001	12286	24500
1002	12298	24487
1003	12310	24473
1004	12321	24459
1005	12332	24445
1006	12343	24429
1007	12354	24415
1008	12367	24403
1009	12377	24387
1010	12389	24373
1011	12400	24359
1012	12412	24347
1013	12424	24335
1014	12436	24321
1015	12448	24309
1016	12460	24296
1017	12472	24284
1018	12484	24271
1019	12497	24260
1020	12514	24257
1021	12526	24244
1022	12538	24231
1023	12549	24217
1024	12561	24204
1025	12572	24189
1026	12584	24176
1027	12595	24162
1028	12606	24146
1029	12617	24133
1030	12629	24119
1031	12639	24103
1032	12650	24089
1033	12661	24074
1034	12673	24060
1035	12683	24045
1036	12695	24031
1037	12707	24019
1038	12719	24006
1039	12731	23993
1040	12743	23980
1041	12755	23967
1042	12766	23953
1043	12779	23942
1044	12790	23928
1045	12803	23917
1046	12814	23902
1047	12826	23891
1048	12837	23876
1049	12849	23862
1050	12861	23850
1051	12872	23835
1052	12883	23821
1053	12894	23806
1054	12905	23792
1055	12917	23779
1056	12928	23764
1057	12938	23749
1058	12949	23735
1059	12961	23721
1060	12972	23708
1061	12983	23693
1062	12994	23679
1063	13006	23666
1064	13017	23651
1065	13028	23637
1066	13040	23624
1067	13052	23611
1068	13063	23597
1069	13074	23582
1070	13085	23569
1071	13097	23555
1072	13108	23541
1073	13121	23531
1074	13133	23517
1075	13145	23505
1076	13156	23491
1077	13168	23479
1078	13180	23465
1079	13191	23451
1080	13202	23437
1081	13213	23422
1082	13225	23409
1083	13243	23407
1084	13254	23393
1085	13265	23379
1086	13277	23367
1087	13288	23352
1088	13299	23338
1089	13310	23323
1090	13321	23308
1091	13332	23295
1092	13344	23282
1093	13355	23267
1094	13366	23253
1095	13376	23238
1096	13388	23224
1097	13399	23210
1098	13409	23195
1099	13421	23182
1100	13431	23167
1101	13443	23154
1102	13455	23142
1103	13467	23128
1104	13478	23114
1105	13489	23101
1106	13500	23086
1107	13511	23072
1108	13523	23059
1109	13534	23045
1110	13545	23031
1111	13557	23017
1112	13568	23004
1113	13580	22992
1114	13592	22979
1115	13603	22965
1116	13616	22953
1117	13627	22940
1118	13639	22926
1119	13650	22913
1120	13661	22899
1121	13674	22887
1122	13684	22872
1123	13695	22858
1124	13706	22844
1125	13719	22833
1126	13730	22819
1127	13742	22806
1128	13753	22793
1129	13764	22779
1130	13776	22765
1131	13787	22751
1132	13798	22737
1133	13809	22723
1134	13820	22709
1135	13830	22694
1136	13841	22680
1137	13853	22667
1138	13865	22653
1139	13876	22640
1140	13886	22625
1141	13898	22611
1142	13909	22598
1143	13921	22585
1144	13933	22572
1145	13944	22559
1146	13956	22546
1147	13967	22532
1148	13977	22517
1149	13990	22505
1150	14001	22492
1151	14012	22477
1152	14023	22463
1153	14034	22451
1154	14048	22440
1155	14059	22426
1156	14069	22412
1157	14080	22397
1158	14092	22384
1159	14103	22371
1160	14115	22357
1161	14126	22344
1162	14139	22333
1163	14150	22320
1164	14162	22307
1165	14174	22295
1166	14186	22282
1167	14197	22268
1168	14209	22256
1169	14221	22243
1170	14232	22229
1171	14242	22213
1172	14256	22204
1173	14267	22191
1174	14278	22177
1175	14289	22163
1176	14301	22150
1177	14312	22136
1178	14323	22123
1179	14335	22110
1180	14347	22098
1181	14359	22085
1182	14370	22071
1183	14381	22057
1184	14393	22045
1185	14404	22031
1186	14415	22018
1187	14427	22005
1188	14439	21992
1189	14450	21979
1190	14461	21965
1191	14474	21954
1192	14486	21942
1193	14497	21928
1194	14509	21915
1195	14520	21901
1196	14531	21888
1197	14543	21875
1198	14556	21865
1199	14567	21851
1200	14578	21837
1201	14590	21824
1202	14601	21811
1203	14612	21798
1204	14624	21784
1205	14634	21770
1206	14646	21757
1207	14657	21744
1208	14669	21731
1209	14681	21718
1210	14691	21703
1211	14703	21690
1212	14714	21678
1213	14726	21664
1214	14737	21651
1215	14749	21638
1216	14761	21626
1217	14773	21614
1218	14784	21600
1219	14794	21585
1220	14806	21572
1221	14817	21559
1222	14829	21546
1223	14839	21532
1224	14851	21519
1225	14862	21505
1226	14873	21492
1227	14884	21478
1228	14895	21464
1229	14907	21452
1230	14918	21439
1231	14929	21425
1232	14941	21412
1233	14952	21399
1234	14963	21385
1235	14975	21372
1236	14986	21359
1237	14997	21345
1238	15008	21331
1239	15021	21320
1240	15033	21308
1241	15044	21295
1242	15055	21281
1243	15067	21268
1244	15078	21255
1245	15089	21242
1246	15101	21229
1247	15113	21216
1248	15123	21202
1249	15134	21188
1250	15146	21175
1251	15158	21163
1252	15170	21150
1253	15180	21136
1254	15192	21123
1255	15203	21110
1256	15214	21097
1257	15226	21085
1258	15237	21071
1259	15249	21059
1260	15261	21046
1261	15271	21031
1262	15284	21020
1263	15295	21007
1264	15306	20994
1265	15317	20980
1266	15329	20967
1267	15340	20953
1268	15351	20940
1269	15363	20927
1270	15374	20914
1271	15386	20902
1272	15397	20888
1273	15409	20876
1274	15420	20862
1275	15431	20849
1276	15442	20836
1277	15453	20822
1278	15464	20808
1279	15475	20795
1280	15487	20782
1281	15499	20770
1282	15510	20756
1283	15522	20744
1284	15533	20731
1285	15544	20718
1286	15556	20705
1287	15567	20692
1288	15578	20678
1289	15589	20665
1290	15600	20652
1291	15611	20638
1292	15623	20625
1293	15633	20611
1294	15645	20598
1295	15656	20585
1296	15666	20571
